case,date,incident_number,incident_type,incident_call_type,cas_event_number,status,address,city,state,zip,county,lat,lng,narrative,units_destroyed,units_major,units_minor,units_affected,num_people_injured,num_people_hospitalized,num_people_deceased,num_adults,num_children,num_families,assistance_given,incident_verified,dispatch_relayed,responders_identified,dat_on_scene,dat_departed_scene
148,2/3/2014,14-0743,fire,hot,NA,closed,8732 South Carpenter Street,Chicago,IL,60620,Cook,41.734951,-87.650026,"1.5 story brick SFH. Fire started in attic. 
Windows out, roof collapsed, utilities off
House is completely destroyed. Responders not allowed inside. Clothing not salvageable (clients have coats). ER",1,0,0,0,0,0,0,4,5,1,1585,2/3/2014 13:31,2/3/2014 13:31,2/3/2014 14:00,2/3/2014 14:00,2/3/2014 16:30
149,2/3/2014,14-0744,fire,hot,NA,closed,1810 West Jackson Boulevard,Chicago,IL,60612,Cook,41.877789,-87.672178,"Rec'd call at 4:45pm from Jane Healy 937-789-1908 req assistance for Joe Kelly unit 211. Unit had water damage, cannot remain in unit, SRO has another unit for him to move to but caller says he cannot move. contacted SRO mgmt Elsa Kelly  773-322-9800 she said she was assisting mr Kelly    CL


Rec'd call at 3:30pm from someone requesting assistance. No phone number was included in the voicemail so we were unable to return the call. ER 

No assistance provided. Responders were not allowed access to building or client by the aparment managers. DA not conducted. ER 

Per OEMC, fire ocurred on the 4th story. 1 individual jumped out of the building. Fire has been extinguished. This property is the Royalton Hotel/Apartments (likely a SRO). ER",0,0,0,0,1,1,0,0,0,0,NA,2/3/2014 14:30,NA,2/3/2014 14:26,2/3/2014 16:00,2/3/2014 16:54
150,2/3/2014,14-0748,fire,hot,NA,closed,10409 Massasoit Avenue,Oak Lawn,IL,60453,Cook,41.7025427,-87.7634799,"HS and DMH requested.

4 unit brick apt. building with 1 unit vacant
Fire started in 2S with candle
Utils off, windows out 
Responders were refused entry but DA provided by battallion chief
Remaining units: 1N Barbara no damage per battallion chief
2N: Maureen Sanderson staying with father, declined services, was able to recover some contents. Smoke damage per chief. 
",0,1,0,3,1,1,0,2,2,1,739,2/3/2014 19:11,NA,2/3/2014 19:17,2/3/2014 20:07,2/3/2014 21:43
151,2/3/2014,14-0749,fire,hot,NA,closed,7524 South Dobson Avenue,Chicago,IL,60619,Cook,41.757838,-87.599631,"1.5 story brick SFH.
minor damage.  small fire in back bedroom.  windows out and utilities off.
",0,0,1,1,0,0,0,3,0,1,405,2/4/2014 2:10,2/4/2014 2:15,2/4/2014 2:50,2/4/2014 3:35,2/4/2014 4:05
152,2/4/2014,14-0750,fire,hot,NA,closed,1300 Kendall Avenue,Algonquin,IL,60102,McHenry,42.180888,-88.281929,"Clients did not have insurance, residence major damage, wall exposed, roof vented.",0,1,0,0,0,0,0,3,1,1,315,2/4/2014 13:20,2/4/2014 14:05,2/4/2014 14:25,2/4/2014 15:06,2/4/2014 16:15
153,2/4/2014,14-0752,fire,hot,NA,closed,3044 North Spaulding Avenue,Chicago,IL,60618,Cook,41.937038,-87.710328,"Electrical fire started on 2nd floor, windows vented, no electricity, no gas.
Landlord: Milagro Vazquez 773-369-0424",0,1,2,0,0,0,0,7,2,3,485,2/4/2014 15:23,NA,2/4/2014 15:37,2/4/2014 16:03,2/4/2014 19:10
154,2/4/2014,14-0755,fire,hot,NA,closed,3047 South Drake Avenue,Chicago,IL,60623,Cook,41.837551,-87.713026,"No services provided, see narrative for details",1,1,0,0,0,3,0,0,0,0,NA,2/4/2014 19:30,NA,2/4/2014 19:40,2/4/2014 20:39,2/4/2014 22:45
155,2/4/2014,14-0757,fire,hot,NA,closed,1822 West 46th Street,Chicago,IL,60609,Cook,41.810601,-87.670837,"DA: All units water damage, windows out, no utilities
26 C Kits
16 toys
3 cases opened:
James Mertes, unit 3F, $1215, Case #8169080
Juanita Tamayo, unit 1M, $1935, Case #8169079
Angel Rodriguez, unit 2R, $1245, Case #8169287

One client (no unit or client information) stated he just moved in, had no identification, left scene and did not return.  

One client (no unit number) refused to leave her apartment.  Police called to intervene.

One client (no unit number) said she was staying with her son in law.  No contact or name.",0,5,0,0,0,0,0,6,16,3,4395,2/4/2014 19:54,NA,2/4/2014 20:13,2/4/2014 21:21,2/5/2014 0:15
156,2/5/2014,14-0762,fire,hot,NA,closed,1000 East 53rd Street,Chicago,IL,60615,Cook,41.799881,-87.6018239,Condo Management Company reports that a resident had started a fire in a fire pit on the porch and the fire department had responded. No displacement and no damage.,0,0,0,0,0,0,0,0,0,0,NA,2/5/2014 15:04,NA,2/5/2014 15:30,2/5/2014 17:00,2/5/2014 17:15
157,2/5/2014,14-0763,fire,hot,NA,closed,13344 South Riverdale Avenue,Chicago,IL,60827,Cook,41.652366,-87.607806,"SFH-1.5 story, brick front with siding. All windows are out. No door in front or rear. Only external DA, but responders looked inside, no furniture or other belongings. Looks to be vacant or possible squatters.

Actual address is 13346 S Riverdale. Utilities may be affected in adjacent unit 13344 S Riverdale. Knocked on other doors of neighbors, no one present. Door hangars left on scene.
",0,0,1,0,0,0,0,0,0,0,NA,2/5/2014 19:25,NA,2/5/2014 20:38,2/5/2014 21:55,2/5/2014 22:08
158,2/5/2014,14-0764,fire,hot,NA,closed,1065 Basswood Street,Hoffman Estates,IL,60169,Cook,42.047359,-88.065324,"Single family home that is rented. 1 story frame, 3 bedroom, no basement. Heavy damage; south end completely destroyed - no walls or roof. Windows out. Part of roof open. Heavy smoke, water and fire damage throughout house. Landlord has another house that they can move in to on the same block. 

5 c-kits, 4 blankets, 1 toy, 1 black tote bag/suitcase

No injuries. No need for health services or mental health. No unserviced clients. 

4 adults, 1 child. 

Landlord Amy Reev with Reev Realty from Naperville. No phone number available.",0,1,0,0,0,0,0,4,1,1,745,2/5/2014 21:12,NA,2/5/2014 21:25,2/5/2014 22:25,2/5/2014 23:46
159,2/6/2014,14-0768,fire,cold,NA,closed,547 22nd Avenue,Bellwood,IL,60104,Cook,41.882291,-87.859696,"BJ Coleman was contacted in DHS, helping with meds replaced.

DA: 1 story wood frame home with basement, 2 bedrooms.  windows boarded up, all utilities off, front door pattlelocked.  Client showed pictures of internal damage, major damag throughout.  

Client unable to get inside to access clothing, assistance provided for shelter, food and clothing.  

  
",0,1,0,1,0,0,0,1,0,1,440,2/6/2014 19:17,2/6/2014 19:22,2/6/2014 19:55,2/6/2014 20:50,2/6/2014 21:33
160,2/6/2014,14-0770,fire,hot,NA,closed,358 South Liberty Street,Elgin,IL,60120,Kane,42.030085,-88.268277,"Elgin, IL (Kane County)| Working Fire| 358 S Liberty St| EFD has a W/F in a residential home.| 18:59 

HEALTH SERVICES REQUIRED FOLLOW UP!
",1,0,0,0,0,0,0,3,1,1,755,2/7/2014 1:03,2/7/2014 1:03,2/7/2014 1:18,2/7/2014 2:02,2/7/2014 3:33
161,2/6/2014,14-0772,fire,hot,NA,closed,3240 North Lake Shore Drive,Chicago,IL,60657,Cook,41.9415,-87.640057,"Chicago, IL (Cook County)| Still & Box Fire| 3240 N Lake Shore Dr| Cfd has a fire in a high rise bldg 1 LSO| 22:09 

[OC] General Group: Still and Box High Rise / EMS Plan 1 at 3240 N Lake Shore Dr for a hi-rise fire, CFD on scene..LC

Chicago, IL (Cook County)| Still & Box Fire| 3240 N Lake Shore Dr| U/D: Fire in bsmt. of a 15 story high rise bldg. 1 Lso. Ems Plan 1 for 6 amb.| 22:16 

Chicago, IL (Cook County)| 2 Alarm Fire| 3240 N Lake Shore Dr| U/D: 2 LSO on bsmt fire in a 15 story high rise bldg Ems Plan 1 for 6 ambulances| 23:01

[OC] 44th Ward Ald Tunney/General/OEM Response Groups: 2-11 Alarm on orders of 222 at 3240 N Lake Shore Dr, EMS Plan 1 is still in place..LC

[OC] 44th Ward Ald Tunney/General/OEM Response Groups: Update for the 2-11 Alarm / EMS Plan 1 at 3240 N Lake Shore Dr- Red Cross is responding with no eta at this time..LC

[OC] 44th Ward Ald Tunney/General/OEM Response Groups: 2-11 Alarm / EMS Plan 1 at 3240 N Lake Shore Dr has been struck out and secured on orders of 222 at 2359hrs..LC

Landlord is seeking to help any residents not on scene. 
Landlord: Ed Cullison 847-927-9430 and Wurtz Realty 312-943-7000. If any residents call please give Mr Cullison number 847-927-9430.

[OC] 44th Ward Ald Tunney/General/OEM Response Groups: Update for the 2-11 Alarm / EMS Plan 1 at 3240 N Lake Shore Dr- OEM 36 Roberson is departing the scene as of 0140hrs..LC

",0,0,1,0,0,0,0,0,0,0,NA,2/7/2014 4:30,2/7/2014 5:10,2/7/2014 5:19,2/7/2014 5:05,2/7/2014 7:55
162,2/7/2014,14-0773,fire,cold,NA,closed,6312 North Paulina Street,Chicago,IL,60660,Cook,41.996097,-87.672345,"Red Cross notified via IPN at 5:30am of fire. Responders from Americorps Brooke Chasteen and Jocelyn Perry were dispatched and then called off because client had left the scene. Client Jazmeen Brown and her roommate Latia Lane called mid morning to say they were on scene and ready to meet with Red Cross. The meeting was set for 11:15am with Jocelyn Perry and Linda Branscome. The damage assessment is for a 3 story brick multi unit bldg. Fire started on the 2nd floor. 

In unit 2C the occupant is in the hospital, no contact info available. The bedroom was destroyed, windows and ceiling out, smoke and water damage through out the rest of the apartment. Responders left a door hanger.

In unit 1C there was water damage through out , utilities off 1 window out. Clothing salvageable. Assistance was provided
The units are condos but rented to others. The management company landlord is David Wilcox 773-855-2394x105 or 773-456-9461The unit owner number is Mitch 773-319-6628 for unit 1C",0,0,1,0,0,0,0,2,0,1,275,2/7/2014 12:45,NA,2/7/2014 16:30,2/7/2014 17:24,2/7/2014 18:06
163,2/7/2014,14-0774,fire,cold,NA,closed,1167 Lily Field Lane,Bolingbrook,IL,60440,Will,41.692702,-88.119155,"At verification fire and police declined services at this time

Client called back at 5:20 pm requesting services.

Trainee: Alex Misra (630) 632-0445
Responder: Bob Hickman (815) 521-9390",0,0,1,1,0,0,0,2,1,1,625,2/7/2014 17:36,NA,2/7/2014 23:30,2/8/2014 0:47,2/8/2014 2:07
164,2/7/2014,14-0777,fire,hot,1-1FL2S1,closed,2521 West 45th Place,Chicago,IL,60632,Cook,41.810851,-87.687856,"Fire started in 2 story brick apartment at 2521 W 45th Place. Residents were mother and son, Patrick Wrobel. Mother is listed as a homicide, Patrick is in police custody. Residents for 2521 not serviced, but qualifies for everything if Patrick calls us.  Major damage to structure.

2519 and 2523 W 45th Place also affected.  2519 no fire damage, utilities are off.  Owners and tenants are in contact with utility companies to restore.  Total three units, basement unit has place to stay, first floor unit has place to stay, 1 may call (on second floor unit).  No fire damage, did not touch building, windows intact.    

Residents next door at 2523 were serviced, 2 cases opened. DA for 1R is damage to two bedrooms, utilities out, windows out and no heat. DA for 2F is fire destroyed back bedroom, windows out, utilities out, client is staying with family.  Other units, owner of the house lives in 1F, his mother lives on 2R, both have insurance and do not qualify for service.  2R Laura Virrueta, 1F Rodrigo Virrueta.  Rodrigo is landlord, 773-374-9420.",1,2,0,0,0,0,1,5,3,2,500,2/7/2014 20:13,NA,2/7/2014 20:14,2/7/2014 21:25,2/7/2014 23:30
165,2/8/2014,14-0783,fire,hot,NA,closed,7241 North McVicker Avenue,Chicago,IL,60646,Cook,42.012732,-87.7776839,"Chicago, IL (Cook County)| Still Alarm Fire| 7241 N McVicker Ave| CFD E119 o/s with a fire in a 1 story brick house| 12:51

Steve Meisler stated that one dog passed away in the fire. Client, Wendy Simmons, very distressed about dog - Disaster Mental Health follow-up requested for Wendy Simmons. Brother's, Dave Simmons, phone number is 773-936-2155 (cell) and 773-202-0416 (home).

2 residents, Wendy and Joe Simmons, both currently at Resurrection Hospital. Expected to be released sometime today.

External DA: One story ranch-style, SFH, front of house (living room and two office spaces) appear to be completely destroyed. Two bedrooms in home are not fire damaged, though heavily smoke damaged. Clothing may be salvageable. 

Clients are insured according to brother, but trying to contact and unsure of insurance agent. Clients can stay with relatives, but unsure if they have shoes or winter clothing as they ran out of house without them so may be eligible for those services. Spoke with client, Joe Simmons, and he declined Red Cross services for the time being; will call back if they need anything.",0,1,0,0,2,2,0,2,0,1,NA,2/8/2014 18:55,NA,2/8/2014 19:00,2/8/2014 19:44,2/8/2014 20:43
166,2/8/2014,14-0787,fire,hot,NA,closed,2821 North Long Avenue,Chicago,IL,60641,Cook,41.932028,-87.7610009,"2 story brick SFH, currently under construction.  Landlord, Francisco, who lives next door at 2825, 773-427-0095, confirmed no one was living there.  Fire probably started by an extension cord from a work light left on. 

No assistance needed. No unserviced clients.",0,0,1,0,0,0,0,0,0,0,NA,2/9/2014 3:21,NA,2/9/2014 3:41,2/9/2014 5:11,2/9/2014 5:23
167,2/8/2014,14-0788,fire,hot,NA,closed,32323 West Street,Kirkland,IL,60146,Dekalb,42.098856,-88.934043,"2 sty SFH w/basement

Destroyed, electrical, all windows out, half of roof gone, some walls gone. No power.

HEALTH SERVICES TO FOLLOW UP!

----

Resent team on 2/9 to meet client Daniel Evans to reissue CAC",1,0,0,0,0,0,0,3,2,1,1085,2/9/2014 4:07,NA,2/9/2014 4:14,2/9/2014 5:31,2/9/2014 6:35
168,2/9/2014,14-0789,fire,hot,1-1FLKUL,closed,105 South Main Street,Mount Prospect,IL,60056,Cook,42.064123,-87.936361,"Apts over store

Apartment building with two address: 105 and 111 S Main

Fire started in restaurant below apartment buildings. Windows blown out, utilities off, major water damage. Entire building will be destroyed due to extensive damage. Apartment 1,2, and 4 in 111 S Main may be able to go in to get belongings, others unable to return.

Total of 6 apartment units. Some people share an apartment. All renters accounted for except Mr. Lim (first name unknown), who lived in apartment 1N, 105 S Main St. Would qualify for assistance as apartment completely destroyed. City manager was asked to call ARC if Mr. Lim was found.

Building owner: Mike Nakanishi (630-858-1045)",6,0,0,0,0,0,0,7,0,6,2615,2/9/2014 11:30,2/9/2014 11:35,2/9/2014 11:45,2/9/2014 12:45,2/9/2014 16:00
169,2/9/2014,14-0791,fire,hot,NA,closed,1507 South Kilbourn Avenue,Chicago,IL,60623,Cook,41.860255,-87.736864,"1.5 story 25x40

Building is a crime scene, most likely crack house. OFI inside. Officer Pulia (Badge #13489, Beat #1021). Responders were able to go inside after investigation was completed.

Basement unit: Melissa Glandill (312-434-8776) and boyfriend Lemont Storks. Couldn't provide ID to prove lived in building b/c couldn't go back in building. Responders were unable to talk to her in depth because she left the scene quickly and was angry at responders. Minor water damage, utilities off. Responder saw her take clothes out of building, so would only qualify for food and shelter.

1st floor: Leland Mclean (50 yrs old) - 773-224-1963. 3 people in his unit (1st floor), declined services. He is also owner of the whole building. Minor water damage, utilities off. Would qualify for food, shelter, not clothing.

2nd floor: Keshai Richmond, cousin of Leland Mclean. Fire started here most likely due to drugs. Completely destroyed, windows out, utilities off, roof vented. Would qualify for food, shelter, and clothing if can prove live there.",1,0,2,0,0,0,0,0,0,0,NA,2/9/2014 21:15,2/9/2014 21:16,2/9/2014 21:25,2/9/2014 22:14,2/9/2014 23:00
170,2/10/2014,14-0794,fire,hot,NA,closed,790 Buffalo Avenue,Calumet City,IL,60409,Cook,41.611225,-87.543524,"Assistance requested by the Calumet City FD for one female after a small fire occurred at 12:39 AM in the rear unit of a 1-story, brick Ranch (divided into two apartments). Fire contained to laundry room ceiling: minimal damage. Client has most utilities and declined services. Front unit: Vacant.

Landlord: Ronald Lorsch (708-799-0102)

Follow up call received at 7:37AM from Dawn with Calumet City FD to verify that ARC did respond to incident. Stated that heat was shut off to residence. Advised that ARC was on scene at 2:36AM, but that client elected to stay and declined services. Will call back if anything changes.",0,0,1,0,0,0,0,1,0,1,NA,2/10/2014 7:15,2/10/2014 7:18,2/10/2014 7:26,2/10/2014 8:36,2/10/2014 9:10
171,2/10/2014,14-0795,fire,cold,NA,closed,7954 South Nagle Avenue,Burbank,IL,60459,Cook,41.7471521,-87.781395,"Received call from Client Samia Kartoum stating she was affected by a fire Friday, 2.7.2014 at 11:30PM. She is requesting ARC assistance (food and possibly shelter).

1 story brick house. Fire started in basement, clothing salvageable, back living area and basement windows out, half of home without electricity, smoke damage throughout",0,1,0,0,0,0,0,6,1,1,175,2/10/2014 17:48,NA,2/10/2014 18:10,2/10/2014 18:55,2/10/2014 21:57
172,2/10/2014,14-0796,fire,hot,1-1FLN47,closed,5215 North Oakview Street,Chicago,IL,60656,Cook,41.974277,-87.843609,"NOTE: Client Furtak Grzegorzky (was on vacation) called 2/13 requesting assistance. Verified with SBU that client does qualify for food and shelter, but no clothes. Client to call 2/14 to schedule an apt at Rauner during the day. 

Fire started becuase of maintenance company heating frozen pipes with blow torch. Building is owned by an association, Christine manages the building 847-687-6623. 6-unit bldg

Unit 2E: Heavy smoke, water, and fire damage throughout. Windows out. clothing not salvageable. The only unit badly affected by fire and the reason they received clothing 

Unit 3W: Smoke and water damage, windows intact, utilities are off, clothing salvageable. 

If any other tenants contact  ARC for assistance, they may potentially qualify for food and shelter. Condo association has boarded up building. Access for tenants is undetermined at this time. 

Two apartments were not occupied. One family was away in Wisconsin, and the other tenant was not home at the time of the fire. 

Per SBU on 2/13, client in 2W qualifies for food and shelter. She met with responder at Rauner on 2/14 and was issued food assistance, based on need. SG",0,1,3,4,0,0,0,6,0,2,1405,2/10/2014 18:13,NA,2/10/2014 18:24,2/10/2014 19:05,2/10/2014 21:24
173,2/10/2014,14-0797,fire,hot,1-1FLN4D,closed,6961 North Oakley Avenue,Chicago,IL,60645,Cook,42.007949,-87.687493,"37 unit apartment building affected by plumber using blow torch on pipes. Only the two units were majorly affected by fire, the floors below may have minor water damage, utilites may be off, however some stated they had a place to stay. They do not qualify in terms of damage to units, however if utilites are off may qualify due to disaster. 

Clients have insurance, however, had a hard time getting in touch with insurance agent. 

Unit 402 
 front windows out, utilities off, roof vented, clothing salvageable, front part of unit vented

Unit 403
 front windows out, utilities off, roof vented, clothing salvageable, front part of unit vented
",0,2,0,0,0,0,0,4,3,2,610,2/10/2014 19:15,NA,2/10/2014 19:39,2/10/2014 19:57,2/10/2014 21:57
174,2/10/2014,14-0798,fire,hot,NA,closed,2921 West Harrison Street,Chicago,IL,60612,Cook,41.873496,-87.699419,"External DA: 
Danny, 2nd floor: windows are out, back door gone, roof vented, clothing may not be salvageable 
Darin Jones, 1st floor: windows intact, back door gone, water damage. Per OFI on scene, fire did not reach first floor unit. 

Tenants were not home at time of fire. 

Landlord: Kenneth Jones 708-299-5307
Per landlord, he has other units he could possibly provide for tenants. His brother Darin Jones who lives on the first floor has a place to stay. 

Building is boarded up; Tenants will not be able to return. Per OFI, building is unhabitable. 

2nd floor qualifies for clothing, food, and shelter. 
1st floor qualifies for food, shelter and possibily clothing if not allowed access to apartment. 

ARC responders left door tag on building and with landlord.",1,0,1,0,0,0,0,2,0,2,NA,2/10/2014 20:14,2/10/2014 20:15,2/10/2014 20:20,2/10/2014 20:55,2/10/2014 21:30
175,2/10/2014,14-0801,fire,hot,NA,closed,8516 South Escanaba Avenue,Chicago,IL,60617,Cook,41.740452,-87.554256,"Chicago, IL (Cook County)| Still Alarm Fire| 8516 S Escanaba Ave| CFD on scene with fire in a 2.5 story residence| 22:13

Responder identified to go on scene. 

Responders called dispatch to notify that there were no clients to service on scene, spoke with officer J. Ross.  

Officer J. Ross confirmed that building is vacant.  No one lives on premises and no door knocker left.",0,0,0,0,0,0,0,0,0,0,NA,2/11/2014 4:26,NA,2/11/2014 4:34,2/11/2014 5:18,2/11/2014 5:19
176,2/11/2014,14-0803,fire,hot,1-1FM48L,closed,118 North Menard Avenue,Chicago,IL,60644,Cook,41.882817,-87.770169,"A hot fire at a multi unit apt building. The fire started by a space heater in unit 1B and worked its way to unit above (2B) and across the hall to unit 2-something. 3 families were displaced and assistance was provided for food, clothing, and shelter according to individual cases. 

Landlord Information: Henriella Jones (773-287-7804) or Derck Pettis (773-507-2463)",0,3,0,0,0,0,0,7,6,3,1995,2/11/2014 12:10,2/11/2014 12:12,2/11/2014 12:25,2/11/2014 13:50,2/11/2014 16:36
177,2/11/2014,14-0804,fire,hot,1-1FM48R,closed,7048 South Merrill Avenue,Chicago,IL,60649,Cook,41.76663,-87.5729829,The fire in a multi family unit started behind the stove in the kitchen the unit is completely destroyed shelter food and clothing was issued .  Their were no injuries no utilities and windows broken into. one comfort kit and blanket issued no other units affected.,1,1,0,0,0,0,0,1,0,0,360,2/11/2014 13:34,2/11/2014 13:35,2/11/2014 13:58,2/11/2014 14:43,2/11/2014 15:31
178,2/11/2014,14-0805,fire,hot,NA,closed,9642 South Green Street,Chicago,IL,60643,Cook,41.718048,-87.644688,Ray Carter was at scene with no occupants at vacated house the door was broken open with evidence of a fire in the premises,0,0,1,0,0,0,0,0,0,0,NA,2/11/2014 15:47,2/11/2014 16:37,2/11/2014 16:46,2/11/2014 17:50,2/11/2014 17:52
179,2/11/2014,14-0806,fire,hot,NA,closed,1853 North Karlov Avenue,Chicago,IL,60639,Cook,41.9148915,-87.7288981,"Wrap Up: Fire on 1st floor back bedroom, major damage to the back bedroom, fire did not spread any further, however, did cause floor in back bedroom to collapse into the basement.  Gas is off and furnace in basement is not working. No heat on all 3 floors. Electricity working.  Tenant on 2nd floor is trying to get hold of landlord to see if they will get heat by tonight. Gave him one of our referral booklets to call us or Catholic charities if he is not able to stay there tonight.

Landlord is Lee Burche, 773-394-5260 x 13, not reachable.

1st floor tenant not home, door hangar left. Qualifies for food, shelter and clothes. Possible name is Lamb Billups and Warrent A.  Wheelchair was found outside the door, tenant suggested the elderly mother on 1st floor may be disabled. Tenant also suggested that her son may have some mental disability.  Fire started when son was smoking in back bedroom. According to boardup company,  Landlord 'kicked him out' after he arrived and found out the cause of the fire. 

2nd floor tenant home but no assistance provided. No damage to 2nd floor unit.

3rd floor tenant not home, does not qualify for assistance, no damage to 3rd floor.

3:51pm - DAT On Scene Rebecca Bland 2/11 3:51pm (edit)",0,1,0,2,0,0,0,2,0,1,160,2/11/2014 20:30,2/11/2014 21:05,2/11/2014 21:30,2/11/2014 21:51,2/11/2014 22:33
180,2/11/2014,14-0808,fire,hot,NA,closed,1165 Greenwood Circle,Woodstock,IL,60098,McHenry,42.326967,-88.44192,"Responders:

Jacquie Speciale 815-814-7711
Brenda Farnum 815-761-8836
Health Services (health services to add to CAC)
Mental Health Services
Family is insured, did not require shelter assistance

Damage to townhome:
Fire started in bedroom. 
Bedroom has severe fire, smoke, and water damage. 
Bottom floor has smoke and water damage. Utilities off. Windows out. Roof vented.
Pet cat died in fire.

Note: Sandra Beaty with Mental Health Services called for further information. Was told Red Cross would contact her with client information tomorrow, 02/12/14.",0,1,0,0,0,0,0,2,0,1,385,2/11/2014 21:30,NA,2/11/2014 22:11,2/11/2014 23:15,2/12/2014 2:29
181,2/11/2014,14-0809,fire,cold,1-1FM493,closed,9233 South Greenwood Avenue,Chicago,IL,60619,Cook,41.726604,-87.59696,"Responders:

Julianne Lyons 773-710-0044
Derrick Hill 219-883-1311

Client: Nicole 608-354-5125 is waiting in her car

CLIENT NEEDS MENTAL HEALTH FOLLOW UP PLEASE. THANK YOU
",1,0,0,0,0,0,0,2,3,1,945,2/11/2014 22:09,2/11/2014 23:10,2/11/2014 23:40,2/12/2014 0:40,2/12/2014 1:15
182,2/11/2014,14-0811,fire,hot,NA,closed,413 East Streamwood Boulevard,Streamwood,IL,60107,Cook,42.026017,-88.170646,"4 individuals displaced.
Minor to Major damage to SFH. Roof vented.

Donavan Harris 847-361-4054
(Diana Harris) needs MENTAL HEALTH follow up.

(Ajani 11, Adeal 6 - Kids)

Van outside caught on fire, caught house on fire.

Client has Farmers insurance.",0,1,0,0,0,0,0,2,2,1,NA,2/12/2014 5:05,NA,2/12/2014 5:40,2/12/2014 6:30,2/12/2014 7:20
183,2/12/2014,14-0812,fire,hot,NA,closed,181 Craig Drive West,Chicago Heights,IL,60411,Cook,41.533484,-87.649666,"Single Family Home, 2 sty cape cod brick

Destroyed, FD still on scene
Windows out, holes in roof, smoke and water
damage.
.
1 adult male displaced, currently in hospital

Has insurance and might stay with sister.

Is eligible for food, clothing and shelter.
",1,0,0,0,0,1,0,1,0,0,NA,2/12/2014 6:01,2/12/2014 6:10,2/12/2014 6:18,2/12/2014 6:58,2/12/2014 8:30
184,2/12/2014,14-0813,fire,hot,1-1FMJE8,closed,881 Gettysburg Drive,Bourbonnais,IL,60914,Kankakee,41.167353,-87.8815957,"Minimal damage to Unit #3 of a 4 Unit wood apartment buliding.

Landlord Chris Martin  312 636 4384",0,0,1,0,0,0,0,2,2,1,200,2/12/2014 16:04,NA,2/12/2014 16:47,2/12/2014 17:50,2/12/2014 19:18
185,2/12/2014,14-0814,fire,hot,1-1FMJEE,closed,3472 Connecticut Street,Gary,IN,46409,Lake,41.555365,-87.334473,"Single family house fire. A mother and her son displaced.

Call from client on 2/13 requesting assistance. Client lives on second floor and suffered no damage to apt - no services provided. See cases for client contact info/details.",0,1,0,0,0,0,0,1,1,1,275,2/12/2014 19:45,2/12/2014 21:01,2/12/2014 21:01,2/12/2014 22:32,2/12/2014 23:15
186,2/12/2014,14-0815,fire,hot,1-1FMJEK,closed,2140 Georgetown Lane,Waukegan,IL,60085,Lake,42.383573,-87.85951,Red cross respionders on scene at 3;15pm. Fire started upstairs in a 2 story brick townhouse. major damage to the econd floor with flooring unstable.Unit next door has minor damage. Landlord is Rodger Ichou 773-381-8660. 6 people displaced 3 adults and 3 children. Sister phone number is 847-445-1211,0,1,0,1,0,0,0,3,3,1,1085,2/12/2014 19:50,2/12/2014 20:05,2/12/2014 20:20,2/12/2014 22:07,2/12/2014 23:15
187,2/12/2014,14-0816,fire,hot,1-1FMJEQ,closed,22525 Torrence Avenue,Sauk Village,IL,60411,Cook,41.480373,-87.556324,"Single family, single story frame house. Fire started in the kitchen because client was trying to unthaw the pipes. Fire department declared house uninhabitable. Windows in the kitchen our, utilities off, major fire and smoke and water in the back of the house.",0,1,0,0,0,0,0,2,0,1,275,2/12/2014 21:30,NA,2/12/2014 22:20,2/12/2014 23:10,2/13/2014 1:11
188,2/13/2014,14-0821,fire,hot,1-1FNB51,closed,519 South Lavergne Avenue,Chicago,IL,60644,Cook,41.8734535,-87.7491384,"Confirmed fatality at this fire. DMH and HEALTH SERVICE follow ups needed. See individual cases for details. 

Fire in 2-story, 8 unit apartment building. Only 4 units qualify, other 4 units were unaffected and still have utilities. No unserviced clients at this scene. Building had two addresses, 521 and 519 S Lavergne. 

Fire started in unit 2S, heavy fire and smoke damage to that unit as well as unit 1S below. Other units less damaged, but utilities off in that entire half of building. 

LL - George Hernandez 773-230-6467

",1,1,2,0,0,0,1,13,2,4,1405,2/13/2014 23:36,2/13/2014 23:40,2/13/2014 23:58,2/14/2014 0:45,2/14/2014 4:48
189,2/14/2014,14-0822,fire,hot,1-1FNB57,closed,1355 West 112th Street,Chicago,IL,60643,Cook,41.690074,-87.656692,"Single Family Home

Electrical fire started in bedrooms, 3 bedroom completely destroyed, 2 bedrooms major damage. 
Roof vented, windows out and no utitilies. 

Landlord: William Dixon 773-238-4722",1,0,0,0,0,0,0,4,4,1,1955,2/14/2014 6:45,2/14/2014 7:06,2/14/2014 7:20,2/14/2014 8:35,2/14/2014 9:45
